Course,Section
AB COMM,A
AB POLSCI,C
AB POLSCI,A
AB POLSCI,B
ABBS,A
BEED,B
BEED,A
BPA,A
BPA,B
BPA,C
BS HRM,A
BS HRM,B
BS MATH,A
BS PSYCH,A
BS PSYCH,B
BS TOURISM,A
BS TOURISM,B
BSA,B
BSA,C
BSA,A
BSAT,C
BSAT,A
BSAT,B
BSBA-EM,B
BSBA-EM,A
BSBA-EM,C
BSBA-FMGT,A
BSBA-FMGT,B
BSBA-FMGT,C
BSBA-HRDM,B
BSBA-HRDM,A
BSBA-MKMGT,B
BSBA-MKMGT,A
BSBA-MKMGT,C
BSCRI,A
BSCRI,B
BSCS,B
BSCS,A
BSE ENG-CHI,A
BSE ENGLISH,A
BSE ENGLISH,B
BSEMC,A
BSE-SCI,A
BSE-SCI,B
BSE-TLE,B
BSE-TLE,A
BSIS,B
BSIS,A
BSIT,B
BSIT,C
BSIT,A
BSOAD,C
BSOAD,B
BSOAD,A
COMSEC,A
COMSEC,B
MATS,A
MPA,A
