sbj_schedule_code,sbj_code,sbj_description,sbj_unit,sbj_year,sbj_section,sbj_course,sbj_sem,sbj_sy
7067,,,,,,,,
7066,,,,,,,,
7065,,,,,,,,
7064,,,,,,,,
7063,NSTP 122,CIVIC WELFARE TRAINING SERVICES 2,3,1ST,C,COMSEC,2ND,2015-2016
7062,PE 002,RHYTHMIC ACTIVITIES,2,1ST,C,COMSEC,2ND,2015-2016
7061,STE 111,ELEMENTARY STENOGRAPY,3,1ST,C,COMSEC,2ND,2015-2016
7060,COA 002,WINDOWS APPLICATION 1,3,1ST,C,COMSEC,2ND,2015-2016
7059,SSC 001,GENERAL PSYCHOLOGY,3,1ST,C,COMSEC,2ND,2015-2016
7058,KB 112,ADVANCED KEYBOARDING,3,1ST,C,COMSEC,2ND,2015-2016
7057,MTH 111,COLLEGE ALGEBRA,3,1ST,C,COMSEC,2ND,2015-2016
7056,NSC 002,BIOLOGICAL SCIENCE,3,1ST,C,COMSEC,2ND,2015-2016
7055,FIL 002,PAGBASA AT PAGSULAT TUNGO SA IBA'T IBANG DISIPLINA,3,1ST,C,COMSEC,2ND,2015-2016
7054,ENG 002,WRITING IN THE DISCIPLINE,3,1ST,C,COMSEC,2ND,2015-2016
7053,,,,,,,,
7052,PE 002,RHYTHMIC ACTIVITIES,2,1ST,D,BSAT,2ND,2015-2016
7051,NSTP 2,CIVIC WELFARE TRAINING SERVICES 2,3,1ST,D,BSAT,2ND,2015-2016
7050,ACC 122,PRINCIPLES OF ACCOUNTING 2 (PARTNERSHIP AND CORPORATION),6,1ST,D,BSAT,2ND,2015-2016
7049,PHI 001,LOGIC AND ETHICS,3,1ST,D,BSAT,2ND,2015-2016
7048,NSC 002,BIOLOGICAL SCIENCE,3,1ST,D,BSAT,2ND,2015-2016
7047,SSC 002,POLITICS AND GOVERNANCE(W/PGNC),3,1ST,D,BSAT,2ND,2015-2016
7046,MTH 111,COLLEGE ALGEBRA,3,1ST,D,BSAT,2ND,2015-2016
7045,FIL 122,PAGBASA AT PAGSULAT SA IBA'T-IBANG DISIPLINA,3,1ST,D,BSAT,2ND,2015-2016
7044,ENG 002,WRITING DISCIPLINE,3,1ST,D,BSAT,2ND,2015-2016
7043,,,,,,,,
7042,PE 004,TEAM SPORTS,2,2ND,D,BSAT,2ND,2015-2016
7041,ACC 224,FINANCIAL ACCOUNTING PART 2,6,2ND,D,BSAT,2ND,2015-2016
7040,MGT 223,HUMAN RESOURCE MANAGEMENT,3,2ND,D,BSAT,2ND,2015-2016
7039,BS 101,BEHAVIORAL SCIENCE APPLIED IN BUSINESS,3,2ND,D,BSAT,2ND,2015-2016
7038,COM 213,COMPUTERIZED PRACTISE SET-MERCHANDISING,3,2ND,D,BSAT,2ND,2015-2016
7037,MAN 002,"RIZAL'S LIFE,WORKS AND WRITINGS",3,2ND,D,BSAT,2ND,2015-2016
7036,MTH 214,MATHEMATICS OF INVESTMENTS,3,2ND,D,BSAT,2ND,2015-2016
7035,ENG 004,BCTRW,3,2ND,D,BSAT,2ND,2015-2016
7034,,,,,,,,
7033,,,,,,,,
7032,,,,,,,,
7031,,,,,,,,
7030,,,,,,,,
7029,,,,,,,,
7028,DPA 405,ADVANCED PUBLIC FISCAL ADMINISTRATION,3,4TH,A,DPA,2ND,2015-2016
7027,DPA 404,PHILIPPINE GOVERNMENT SYSTEM,3,4TH,A,DPA,2ND,2015-2016
7026,DPA 403,THEORIES OF ADMINISTRATIVE SYSTEM,3,4TH,A,DPA,2ND,2015-2016
7025,,,,,,,,
7024,BPA 108,COMPUTER FUNDAMENTALS,3,4TH,A,BPA-SPECIAL,2ND,2015-2016
7023,BPA 107,PUBLIC FISCAL ADMINISTRATION,3,4TH,A,BPA-SPECIAL,2ND,2015-2016
7022,BPA 106,EFFECTIVE COMMUNICATION ON ORGANIZATION,3,4TH,A,BPA-SPECIAL,2ND,2015-2016
